korean_name
크리스 프랫
Anya Tayl
찰리 데이
잭 블랙
키건-마이클 키
세스 로겐
프레드 아미센
캐리 페이튼
세바스티안 마니스칼코
찰스 마틴
케빈 마이클 리처드슨
줄리엣 옐레닉
리노 로마노
존 디마지오
제시카 디시코
에릭 바우자
스콧 멘빌
제이슨 브로드
카를로스 알라즈라키
애슐리 버치
레이첼 부테라
캐시 카바디니
윌 콜러
장고 크레이그
윌로우 기어
애런 헨드리
앤디 허쉬
바바라 릴리
필 라마르
제레미 맥스웰
다니엘 모라
노린 리어던
리 쇼텐
크리 섬머
니사구
노라 와이먼
자카리 레비
애셔 엔젤
잭 딜런 그레이저
애덤 브로디
그레이스 캐롤라인 커리
헬렌 미렌
루시 리우
레이첼 제글러
미간 굿
페이스 헤르만
로스 버틀러
이안 첸
D.J. 코트로나
조반 아만드
지몬훈수
쿠퍼 앤드루스
마르타 밀란스
리즈완만지
P.J. 번
디드리히 바더
켈빈 호지
갈 가도트
클로이 캠프
로타 로센
마이클 그레이
카슨 맥코맥
에번 마쉬
테일러 케이힐
볼프 블리처
제니퍼 홀랜드
스티브 에이지
마크 스트롱
폴 러드
에반젤린 릴리
조너선 메이저스
캐스린
미셸 파이퍼
마이클 더글러스
코리 스톨
빌 머레이
윌리엄 잭슨 하퍼
다비드 다스트말치안
제이미 앤드류 커틀러
케이티 오브라이언
마크 와인먼
랜달 파크
로스 멀런
톰 클라크
리언 쿡
네이선 블리스
두라시에 키앙구
리란 나단
샘 시몬스
그레이엄 폭스
니콜라 펠루소
해리슨 다니엘스
브람데오 섀넌 라마나
러셀 발로
레오나르도 타이오
오시언 로버츠
루카스 게르스텔
미아 게르스텔
트레이시 제프리
디나 제프리
주디 제프리
존 나야감
그레타 나야감
캐시 챈
아담 사이
제이미 사이
자카리 프레이저
패트리샤 벨처
마크 올리버 에버렛
루벤 라바사
멜라니 가르시아
그레그 터킹턴
시에라 카토우
라이언 버가라
마리엘 스콧
제이크 밀가드
데이영
브리자 코바루비아스
테스 오베르
데이비드 J. 카스틸로
콘웰 경
앨런 하이츠
에스더 매컬리
에일링 마리아 안드레이카
밀턴 로페스
로저 크레이그 스미스
러브데이 스미스
존 타운센드
톰 히들스턴
오웬 윌슨
애비 라이더 포튼
샘 워싱턴
조에 살다냐
시고니 위버
스티븐 랭
케이트 윈슬렛
클리프 커티스
조엘 데이비드 무어
CCH 파운더
에디 팔코
제메인 클레멘트
조반니 리비시
브리티시 돌턴
제이미 플레어스
트리니티 블리스
잭 챔피언
브렌던 코웰
베일리 배스
필리프 겔조
듀안 에반스 주니어.
딜레프 라오
맷 제럴드
로버트 오쿠무
제니퍼 스태퍼드
케스턴 존
케빈 도먼
앨리샤 벨라-베일리
숀 앤서니 모란
앤드루 아라비토
조니 알렉산더
김도
빅터 T. 로페즈
마리아 워커
필 브라운
조슬린 크리스찬
조엘 토벡
모아나 에테
필 펠튼
짐 무어
벤저민 회제스
니키타 투 브라이언트
앤서니 아헌
셰인 랭기
릭 루카스
타냐 드레위
아바 디아카비
아이작 테 레이나
에릭 파머
필립 므탐보
대니얼 러프
크루즈 모이르
알렉스 루카스
스칼렛 페르난데스
클로이 콜먼
제레미 어윈
제이크 맥린
CJ 존스
마이클 B. 조던
테사 톰슨
필리키아 라샤드
밀라 데이비스-켄트
우드 해리스
호세 베나비데즈 주니어.
플로리안 문테아누
셀레니스 레이바
태드데우스 J. 믹슨
스펜스 무어 2세
토니 벨루
패트리스 해리스
앤 나자르
제이콥 '스티치' 듀란
테렌스 크로포드
바비 에르난데스
야히야 매클레인
라몬트 랭커퍼드
코리 칼리에
케니 베이리스
토드 그리셤
제시카 맥캐스킬
마야 페이지
지미 레논 주니어.
러셀 모라
알 번스타인
마우로 라날로
브리아나 발레리아 곤살레스 바스케스
샤이라 메달
스티븐 A. 스미스
킴벌리 던 데이비스
다비드 디아만테
토니 위크스
크리스 매닉스
안드레아 지바우
소라야 야드
배리 페퍼
제시카 홈즈
카넬로 알바레스
페르난다 고메즈
켈라니
제레미 리 스톤
아론 D. 알렉산더
브라이언 닐
코리 히버트
제임스 하든
조브 에드먼드
영어 파일
마이클 A. 조던
나타샤 오필리
로즈 에세이
앨런 보엘
부치 로친
스테프니 발렌시아
벨라 디
아나스타샤 윌슨
베스 셰어
미셸 데이비슨
리아 하일레
테오피모 로페스
피트 페누엘
